1	1
2	2
3	2
4	1
5	1
6	1
7	2
8	1
9	2
10	2
11	1
12	3
13	2
14	1
15	2
16	3
17	2
18	1
19	2
20	2
21	1
22	2
23	3
24	3
25	1
26	3
27	1
28	1
29	1
30	1
31	1
32	1
33	2
34	2
35	2
36	1
37	3
38	1
39	2
40	1
41	1
42	1
43	2
44	3
45	2
46	1
47	2
48	1
49	2
50	3
51	2
52	2
53	3
54	2
55	2
56	2
57	1
58	1
59	1
60	2
61	1
62	3
63	3
64	2
65	1
66	2
67	1
68	1
69	1
70	2
71	1
72	2
73	2
74	2
75	2
76	3
77	2
78	1
79	1
80	2
81	3
82	3
83	1
84	1
85	1
86	2
87	1
88	1
89	2
90	2
91	2
92	1
93	3
94	2
95	1
96	2
97	2
98	1
99	3
100	3
101	3
102	2
103	1
104	2
105	1
106	2
107	3
108	1
109	2
110	2
111	2
112	2
113	2
114	2
115	2
116	1
117	1
118	1
119	2
120	3
121	1
122	2
123	3
124	2
125	3
126	1
127	1
128	1
129	3
130	1
131	1
132	3
133	1
134	3
135	2
136	1
137	1
138	2
139	2
140	3
141	2
142	3
143	3
144	1
145	2
146	1
147	3
148	2
149	3
150	3
151	1
152	3
153	3
154	1
155	3
156	1
157	3
158	2
159	3
160	2
161	2
162	2
163	2
164	2
165	3
166	3
167	1
168	1
169	1
170	1
171	1
172	1
173	3
174	1
175	1
176	3
177	2
178	2
179	3
180	2
181	1
182	1
183	1
184	2
185	1
186	3
187	2
188	1
189	1
190	3
191	2
192	2
193	2
194	3
195	3
196	2
197	1
198	3
199	1
200	2
201	1
202	2
203	1
204	1
205	1
206	2
207	2
208	2
209	1
210	3
211	2
212	2
213	2
214	1
215	2
216	3
217	1
218	2
219	1
220	1
221	3
222	2
223	1
224	2
225	2
226	2
227	2
228	1
229	1
230	1
231	3
232	1
233	1
234	2
235	1
236	2
237	3
238	1
239	2
240	3
241	2
242	2
243	3
244	1
245	3
246	2
247	1
248	3
249	2
250	3
251	3
252	1
253	1
254	2
255	3
256	1
257	3
258	2
259	2
260	2
261	2
262	3
263	1
264	3
265	1
266	1
267	1
268	3
269	2
270	3
271	2
272	1
273	2
274	3
275	3
276	3
277	2
278	2
279	2
280	1
281	1
282	1
283	3
284	1
285	1
286	2
287	1
288	1
289	2
290	1
291	1
292	1
293	1
294	3
295	2
296	1
297	2
298	2
299	1
300	1
301	1
302	1
303	1
304	1
305	3
306	1
307	2
308	2
309	2
310	1
311	1
312	3
313	1
314	2
315	2
316	1
317	1
318	2
319	1
320	2
321	2
322	2
323	2
324	3
325	1
326	2
327	1
328	3
329	1
330	2
331	3
332	2
333	3
334	1
335	2
336	2
337	2
338	1
339	3
340	1
341	3
342	2
343	1
344	1
345	2
346	2
347	3
348	1
349	1
350	1
351	2
352	3
353	1
354	1
355	1
356	3
357	2
358	1
359	1
360	2
361	2
362	3
363	2
364	2
365	2
366	1
367	2
368	3
369	3
370	1
371	3
372	3
373	1
374	1
375	2
376	1
377	3
378	1
379	2
380	2
381	2
382	1
383	1
384	3
385	3
386	3
387	2
388	2
389	2
390	1
391	1
392	3
393	1
394	2
395	3
396	1
397	2
398	2
399	2
400	2
401	3
402	3
403	3
404	1
405	3
406	2
407	1
408	1
409	1
410	1
411	1
412	1
413	1
414	3
415	2
416	1
417	1
418	1
419	3
420	1
421	1
422	2
423	1
424	2
425	1
426	1
427	1
428	1
429	1
430	2
431	2
432	1
433	1
434	1
435	1
436	1
437	2
438	3
439	3
440	3
441	3
442	1
443	2
444	3
445	2
446	1
447	2
448	1
449	2
450	1
451	2
452	3
453	1
454	2
455	2
456	3
457	2
458	1
459	2
460	1
461	2
462	1
463	2
464	3
465	1
466	1
467	3
468	2
469	2
470	3
471	1
472	1
473	1
474	2
475	2
476	2
477	2
478	2
479	1
480	2
481	2
482	2
483	2
484	2
485	3
486	2
487	3
488	2
489	2
490	2
491	3
492	2
493	2
494	1
495	2
496	2
497	2
498	3
499	2
500	2
501	1
502	3
503	1
504	3
505	2
506	2
507	2
508	3
509	1
510	2
511	1
512	2
513	2
514	3
515	2
516	2
517	3
518	1
519	2
520	2
521	2
522	1
523	1
524	1
525	1
526	2
527	2
528	1
529	1
530	2
531	2
532	1
533	3
534	2
535	2
536	2
537	2
538	2
539	3
540	2
541	2
542	2
543	2
544	2
545	2
546	2
547	2
548	2
549	3
550	3
551	1
552	2
553	1
554	3
555	2
556	2
557	2
558	1
559	1
560	2
561	2
562	3
563	1
564	1
565	3
566	2
